ID,Sesion,Nivel,Intento,Fecha,Tiempo,Evento
10,1,1,7,2025-11-06,15:19:51.375,Empieza pregunta y decision
10,1,1,7,2025-11-06,15:19:51.375,Pregunta dormir
10,1,1,7,2025-11-06,15:19:56.142,Termina pregunta y decision
10,1,1,7,2025-11-06,15:19:56.161,Respuesta dormir Si
10,1,1,7,2025-11-06,15:19:56.162,Empieza a dormir
10,1,1,7,2025-11-06,15:20:01.174,Empieza a dormir
10,1,1,7,2025-11-06,15:20:02.741,Empieza pregunta y decision
10,1,1,7,2025-11-06,15:20:02.741,Pregunta dormir
10,1,1,7,2025-11-06,15:20:04.208,Termina pregunta y decision
10,1,1,7,2025-11-06,15:20:04.209,Respuesta dormir Si
10,1,1,7,2025-11-06,15:20:04.209,Empieza a dormir
10,1,1,7,2025-11-06,15:20:09.241,Empieza a dormir
10,1,1,7,2025-11-06,15:20:12.374,Empieza pregunta y decision
10,1,1,7,2025-11-06,15:20:12.374,Pregunta parada
10,1,1,7,2025-11-06,15:20:14.641,Termina pregunta y decision
10,1,1,7,2025-11-06,15:20:14.642,Respuesta parada Si
10,1,1,7,2025-11-06,15:20:19.307,Envio ubicacion omitido
10,1,1,7,2025-11-06,15:20:20.873,Empieza pregunta y decision
10,1,1,7,2025-11-06,15:20:20.873,Pregunta parada
10,1,1,7,2025-11-06,15:20:24.873,Termina pregunta y decision
10,1,1,7,2025-11-06,15:20:24.873,Respuesta parada No
10,1,1,7,2025-11-06,15:20:31.107,Empieza pregunta y decision
10,1,1,7,2025-11-06,15:20:31.107,Pregunta parada
10,1,1,7,2025-11-06,15:20:35.773,Termina pregunta y decision
10,1,1,7,2025-11-06,15:20:35.774,Respuesta parada Si
10,1,1,7,2025-11-06,15:20:42.006,Empieza pregunta y decision
10,1,1,7,2025-11-06,15:20:42.006,Pregunta parada
10,1,1,7,2025-11-06,15:20:43.273,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:43.572,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:43.839,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:44.100,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:44.333,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:44.600,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:44.900,Ubicacion enviada
10,1,1,7,2025-11-06,15:20:46.000,Termina pregunta y decision
10,1,1,7,2025-11-06,15:20:46.000,Respuesta parada Si
10,3,,,2025-11-13,14:15:08.014,Paciente y número de sesion guardado
10,3,1,1,2025-11-13,14:15:08.014,Inicio juego
10,3,1,1,2025-11-13,14:15:08.022,Reglas incumplidas
10,3,1,1,2025-11-13,14:15:45.624,Reglas incumplidas
10,3,1,1,2025-11-13,14:15:50.590,Reglas incumplidas
10,3,1,1,2025-11-13,14:15:52.492,Reglas incumplidas
10,3,1,1,2025-11-13,14:15:54.558,Reglas incumplidas
10,3,1,1,2025-11-13,14:15:56.525,Reglas incumplidas
